portfolio_path,original_filename,category,short,long,status,confidence,related,use,width_px,height_px,sha256
images/motor/01_arduino_joystick_hbridge_motor_control_proteus_simulation.png,a88f45bc-2c7a-4eb5-959e-2226a86c29e3.png,Motor control & prototyping,Arduino/joystick H-bridge motor-control simulation,"Proteus simulation combining a discrete BJT H-bridge, direction/switching logic and Arduino/joystick control. User later described simplifying the differential-drive mixing mathematically to left=y+x and right=y-x, with deadband, sign-based direction and normalized PWM magnitude.",PUBLIC_CANDIDATE,high,ECD PROJECT.pdf; user-supplied embedded motor-control code,Good bridge between hardware and embedded-control sections,1280,620,bcb4879ad6506f6641abe09df6809982c06ff454062b0915506894f0696d74c9
images/motor/02_discrete_motor_driver_perfboards_top_side.png,2c85ad95-19a7-446d-a152-ca9a01cc85e2.png,Motor control & prototyping,Discrete motor-driver perfboard prototypes — component side,Two hand-built perfboard implementations of the discrete motor-driver circuit. Shows transistor/IC-level assembly before the later PCB implementation.,PUBLIC_CANDIDATE,high,ECD PROJECT.pdf; Schematic_Motor-driver_2026-08-22.pdf,Strong hands-on prototyping image,585,1040,94dc813b2c0b0ff609a6fe58f57803d7605d8bfb18e44c72d047313412475e58
images/motor/03_discrete_motor_driver_perfboard_bottom_rework.png,7a40c089-cdbe-4f17-99fd-050993a8d8be.png,Motor control & prototyping,Discrete motor-driver perfboard — underside and rework,"Underside of a heavily reworked motor-driver perfboard. User reports repeated solder rework lifted/damaged pads, after which component/resistor leads were used as replacement conductors to recover the prototype. Useful evidence of prototype recovery and continuity/debug work; not intended as a production-quality layout example.",PUBLIC_CANDIDATE,high,ECD PROJECT.pdf; user-supplied build history,Hands-on/rework evidence; contextual caption essential,2048,984,9e43526c5e41cbdc484c45d9a2280474198b76a9e33c1b2514441a7bc34d0654
images/motor/04_discrete_motor_driver_breadboard_prototype.png,3e823e7c-331a-4f07-8c93-9bdaaa1b1f08.png,Motor control & prototyping,Discrete motor-driver breadboard prototype,Breadboard-stage prototype of the motor-driver circuit with discrete transistors and bench instrumentation/power hardware before soldered/perfboard and PCB versions.,PUBLIC_CANDIDATE,high,ECD PROJECT.pdf,Development-progression image,2048,984,8e10aa370ea237d18103c34d194489ecb1bb7e0b3d459bc73332ff47b2fc3df9
images/motor/05_discrete_hbridge_instrumented_proteus_simulation.png,12499771-6d32-4923-bf79-c212c3ed1a2a.png,Motor control & prototyping,Instrumented discrete H-bridge Proteus simulation,Earlier/alternate Proteus H-bridge simulation heavily instrumented with voltage/current probes to inspect device and motor behavior. Good evidence of a measure-every-node approach during early circuit learning and debugging.,PUBLIC_CANDIDATE,high,ECD PROJECT.pdf,Supporting simulation image,2048,984,10707e87bce4bb3e8d70a7588d0dcbf32f011c2ed8cd8e50ac21656ca23db4cc
images/logic/01_multipurpose_combinational_logic_perfboard_bottom.png,2aa0c38c-e647-4138-a650-683bae40c784.png,Digital logic hardware,Hand-soldered multi-function combinational-logic perfboard — underside,Underside of a directly soldered multi-function digital-logic perfboard built from logic ICs. User describes implementing several logic/code-conversion/arithmetic functions via switch-selectable hardware and spending extensive time debugging/reworking the direct-soldered interconnects.,PUBLIC_CANDIDATE,high,User-supplied handwritten logic notes and Proteus simulation images in this folder,Hands-on digital-logic image,733,1302,b01931036f5b7c6937aa054499f06349d89516d0b0dc276ce577523a80ca51cf
images/logic/02_combinational_logic_proteus_simulation.png,b138e91b-c7fe-4036-8e5f-a62288c6c1b9.png,Digital logic hardware,Combinational-logic Proteus simulation,Proteus logic-gate simulation associated with the hand-derived combinational-logic exercises and the later direct-soldered hardware implementation.,PUBLIC_CANDIDATE,high,Handwritten binary-code-conversion logic images in this folder,Simulation/supporting image,659,661,c05816528095e120ec1c5d65e82680c1e22f2e6ce9c79bcf9b2c670aaf0cbac3
images/logic/03_binary_to_excess3_hand_derived_logic.png,5869ff9b-d47a-41a0-985e-acc2c2205d89.png,Digital logic hardware,Hand-derived binary-to-Excess-3 logic,"Hand-drawn combinational logic for a binary-to-Excess-3 conversion block, used as part of the discrete logic design work.",PUBLIC_CANDIDATE,high,Combinational-logic simulation and perfboard images,Supporting derivation image,1152,864,bc3026c2a296a2e38aa50ff86450e1ecdb2c5f86511a62fbe6427537c4a6fa75
images/logic/04_binary_to_2421_hand_derived_logic.png,90725ce8-8e78-47de-b803-d6ff3d30a542.png,Digital logic hardware,Hand-derived binary-to-2421 logic,Hand-drawn combinational logic for conversion from binary to 2421 code.,PUBLIC_CANDIDATE,high,Combinational-logic simulation and perfboard images,Supporting derivation image,1152,864,6ed2d258b850140c8595286cb996ca59199b19cd4628492735deafb5e54b5975
images/logic/05_binary_to_gray_hand_derived_logic.png,7d484a61-6c5c-4314-b592-4ea17d9ba077.png,Digital logic hardware,Hand-derived binary-to-Gray-code logic,Hand-drawn binary-to-Gray conversion using XOR relationships between adjacent bits.,PUBLIC_CANDIDATE,high,Combinational-logic simulation and perfboard images,Supporting derivation image,1152,864,fa3c4ac1735e98e3d63b98a5b1c0034725293d18366a900e1e6318bee8a29ba7
images/logic/06_digital_logic_handwritten_design_notes.png,554bde78-b795-48cc-8bbe-954c276459a5.png,Digital logic hardware,Handwritten digital-logic design/test notes,"Additional handwritten notes from the same digital-logic build. The image is low-resolution/partly rotated, so keep its public caption generic rather than claiming specific equations that cannot be read confidently.",PUBLIC_CANDIDATE,medium,Other digital-logic images in this folder,Archive/supporting image; probably omit from README,864,1152,7ecb3631f3b9d37d73b89bf0f971b6d387f30e52a3e1a58fef7f4ba7f11dae76
images/battery/01_battery_monitor_external_adc_breakout_prototype.png,53a0f22b-ffa0-4966-abab-6c9138c965e1.png,Battery test & analog instrumentation,Battery-monitor external-ADC/breakout prototype,"Perfboard/external-ADC style prototype associated with rover battery-monitoring work. The MRM task report notes that battery monitoring was being developed and that available STM32 ADC pins were insufficient for all batteries, motivating external/expanded acquisition approaches.",PUBLIC_CANDIDATE,medium,Molex and fuse holders.pdf,Supporting battery-monitoring image,626,1302,5e41489be7ee4e44c9e7973eac596d860a5c3ef055a2160ab6965ab1ad2a2ecb
images/battery/02_constant_current_battery_load_early_breadboard_prototype.png,633fb33c-12c0-4b1b-b63c-db3cff7b908c.png,Battery test & analog instrumentation,Early constant-current battery-load breadboard prototype,"Early breadboard/power-stage prototype associated with the homemade constant-current battery discharge load. User recalls a low-resistance copper-wire shunt, analog feedback, a BJT/P-channel MOSFET power stage and a separate low-voltage control supply. Exact component values and final topology are not fully recovered.",PUBLIC_CANDIDATE,medium,User-supplied calibration notebook and discharge-curve images; RUSHIL_VARSHNEY_13.pdf for battery terminology/background,Supporting build image,626,1302,f391585e8206670ddb07145e1ded8b74fe8db752c6a7d1f2b771680ea3a3c150
images/battery/03_constant_current_load_pmos_bjt_hand_schematic.png,221bd170-0d30-4a16-a7a5-bb771b35e387.png,Battery test & analog instrumentation,Hand sketch of P-channel MOSFET/BJT current-load stage,"Hand-drawn reconstruction/working sketch showing a P-channel MOSFET power device driven via an NPN BJT, consistent with the user's recollection of separating the low-voltage precision/control electronics from the dissipative power device.",PUBLIC_CANDIDATE,high,User-supplied constant-current-load context,Useful explanatory image,626,1302,57d7c57a34a1757b3d50870f4b56edc9c8284ecfa7707e06a16fc4863a5b675c
images/battery/04_shunt_signal_gain_calibration_notebook.png,7466a3e6-a25a-420f-9105-b5465f5b1c0b.png,Battery test & analog instrumentation,Shunt/amplifier calibration notebook,"Handwritten calibration data for the analog sensing chain. The page records millivolt-level inputs and volt-level outputs and notes an approximate gain of 67.5, consistent with amplifying a low-voltage shunt signal for the feedback/measurement circuit.",PUBLIC_CANDIDATE,high,Constant-current battery-load prototype; user-supplied four-wire shunt context,Strong instrumentation/calibration evidence,742,1234,96f49fd0fd1b1a05677f92dc8c4e425f540d98effd60629ce7ee247264ca8679
images/battery/05_battery_constant_current_discharge_voltage_curve.png,60e7c652-c763-4613-9380-03048d7330af.png,Battery test & analog instrumentation,Measured battery voltage-versus-time discharge curve,Spreadsheet plot from the battery-characterization experiment. The constant-current load was built specifically to obtain a repeatable battery discharge curve; the recorded voltage falls from about 3.8 V toward the end-of-discharge knee near 3.0 V.,PUBLIC_CANDIDATE,high,Constant-current load images; RUSHIL_VARSHNEY_13.pdf,Hero result image for battery-test project,1604,914,69478e74bf94cacada2f5f9af5825048a1cb5cb3a9dc80573f3a03ce70b104a7
images/antenna/01_yagi_uda_antenna_build_in_progress.png,81479add-eba5-41e5-a11c-cba7b749b952.png,RF & antenna,Yagi-Uda antenna build in progress,"Physical Yagi-Uda antenna fabrication in progress, with elements positioned along a simple boom. The associated report studied Yagi-Uda spacing, gain/directivity and UHF operation before the antenna was built.",PUBLIC_CANDIDATE,high,RUSHIL_VARSHNEY_20.pdf,Build-process image,2048,983,23267ad192c1b8a26c5b605997f4dd52fcb0ad8219c3f720664f32f5d18cdd6e
images/antenna/02_yagi_uda_antenna_completed.png,c126d68c-e3cc-4c09-a702-6f73d280ac8d.png,RF & antenna,Completed Yagi-Uda antenna prototype,Completed physical Yagi-Uda antenna prototype. Use as evidence of basic practical antenna fabrication rather than advanced RF characterization; no VNA/S-parameter measurements have been provided.,PUBLIC_CANDIDATE,high,RUSHIL_VARSHNEY_20.pdf,Hero image for antenna project,2048,984,fd1b940eda2cdac84f5231374304434bf5fa15d4a4b6cdc3bd228e7ff7cf5be9
private/flexible_optical/01_measured_switching_waveforms_scope.png,a3adc42d-79eb-4c13-b5f6-f97ef8959ca0.png,Professional flyback failure analysis,Measured flyback switching waveforms,"Scope capture from the Flexible Optical internship investigation, showing MOSFET drain, secondary current and MOSFET gate traces. User clarified that this belongs to the professional flyback failure-analysis work, not the earlier student half-bridge DC-DC project.",PRIVATE_PROFESSIONAL_DO_NOT_PUBLISH,high,Failure_analysis.pdf,Private interview evidence only unless employer explicitly authorizes publication,1815,1185,97b123d19f032cf3c7e25c8b72ba0cf440d4201583905fbb43328353d0b455ff
private/flexible_optical/02_original_flyback_supply_schematic.png,f268c306-758e-450f-a582-d475e8def137.png,Professional flyback failure analysis,Flyback power-supply schematic used for failure analysis,"Full flyback supply schematic discussed during the internship failure analysis. User identified repeated D2 secondary-rectifier shorts; C15 and D5 were intentionally not populated in the actual configuration, while some boards had separate assembly defects such as missing R10.",PRIVATE_PROFESSIONAL_DO_NOT_PUBLISH,high,Failure_analysis.pdf,Private only,1718,1249,5a23f8dc7fc9216683e55997afec035f17b080fc86cb995c11296cde5458c399
private/flexible_optical/03_flyback_clamp_rectifier_schematic_detail.png,a0bf4815-d56e-40da-bd79-0e93a92060b9.png,Professional flyback failure analysis,Flyback clamp / transformer / rectifier schematic detail,"Schematic detail around the primary clamp network, transformer and upper secondary rectifier D2. Included to preserve context for the failure mechanism discussion and component-population decisions.",PRIVATE_PROFESSIONAL_DO_NOT_PUBLISH,high,Failure_analysis.pdf,Private only,1598,1223,a42bdcd01732755356aef2c67b1818f2bfc7af8a3f3e55617667b6c7ef27a961
private/flexible_optical/04_primary_switch_and_transformer_schematic_detail.png,4fd01f74-100e-4e8c-b5eb-ece2747ad717.png,Professional flyback failure analysis,Primary MOSFET / transformer schematic detail,"Schematic detail around the primary MOSFET, transformer and current-control area used when discussing units that received gate drive but did not show normal drain switching.",PRIVATE_PROFESSIONAL_DO_NOT_PUBLISH,high,Failure_analysis.pdf,Private only,1500,1103,402b9f24bc496c1bafb7d61a411b68940a30d1ddace6970873848328d8359393
private/flexible_optical/05_simulink_flyback_power_stage_behavioral_control_model.png,b5b6a3e4-66c0-4c58-978b-4d3e48ce454b.png,Professional flyback failure analysis,MATLAB/Simulink flyback power-stage model with behavioral controller,"Simulink reconstruction of the flyback power stage. Because the original controller SPICE model was unavailable, the controller behavior was reconstructed from the datasheet using simple control blocks; the model was then used to reproduce the observed switching transient and peak behavior.",PRIVATE_PROFESSIONAL_DO_NOT_PUBLISH,high,Failure_analysis.pdf,Private only,2048,905,ccc4ef7a9351461eec1746f70a1b9796e317dbeda9dfbed75e98871c73b26021
reference_only/01_third_party_constant_current_load_reference_diagram.png,b5e7a19e-5ba3-402b-b411-6b1fb5d04e5e.png,Third-party reference,Third-party analog constant-current-load reference diagram,Reference image supplied in chat to discuss likely topology. This is not presented as the user's original artwork and should not be uploaded to a public portfolio. Recreate the circuit as an original diagram if a GitHub explanation needs one.,REFERENCE_ONLY_DO_NOT_PUBLISH,high,User discussion only,Reference only,1280,720,25b80a0b825b470c76ca484e3872ef8295abf2a160a50bc44be553d450ffa878
reference_only/02_third_party_kelvin_four_wire_sensing_reference.png,1000148741.png,Third-party reference,Third-party Kelvin/four-wire sensing reference screenshot,Screenshot supplied in chat to confirm the four-wire/Kelvin measurement concept. User clarified that the voltage-sense wires were connected inside the high-current connection points across the wire shunt. Do not publish this screenshot; redraw the concept if needed.,REFERENCE_ONLY_DO_NOT_PUBLISH,high,User discussion only,Reference only,688,1536,c395c46eb930e6133a2c5ce96e66c105b814c765c22b454f609dee471eb1d391
images/pcb/04_modular_motor_driver_interface_pcb_layout.png,f0b3818b-ec27-4a90-b44f-7df1ae2d708a.png,PCB & electronics design,Modular motor-driver interface PCB layout,"Recovered rover motor-driver interface PCB layout. The surviving design routes two motor-control signals and ground between the rover-side connector, duplicate 3-pin headers and the motor-driver module footprint. The source files support describing this particular revision as a modular PWM/direction signal-routing interface board.",PUBLIC_CANDIDATE,high,projects/mars-rover-manipal/motor-driver-interface/,Project hero image for motor-driver interface source files,905,959,2b2e43160f0810791b79d925308a61bf6978d3740442b39ca6f5667f73189ac5
